InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
572404,21071,VINTAGE BILLBOARD DRINK ME MUG,6,02/20/2011 10:31,0.99,14010,United Kingdom
577581,84029E,RED WOOLLY HOTTIE WHITE HEART,2,06/27/2011 08:57,4.21,13964,United Kingdom
568124,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,02/25/2011 16:09,2.64,15103,Ireland
C562917,84406B,CREAM CUPID HEARTS COAT HANGER,-1,11/24/2011 18:54,2.83,16185,United Kingdom
575347,84879,ASSORTED COLOUR BIRD ORNAMENT,13,08/24/2011 15:35,1.82,12970,United Kingdom
569683,23298,SPOTTY BUNTING,4,03/01/2011 08:33,5.1,13604,France
560461,20725,LUNCH BAG RED RETROSPOT,5,08/11/2011 12:14,1.56,13987,United Kingdom
564433,22197,SMALL POPCORN HOLDER,14,12/04/2010 16:27,0.78,13511,United Kingdom
587283,23298,SPOTTY BUNTING,5,09/12/2011 17:36,4.64,12718,United Kingdom
553520,21754,HOME BUILDING BLOCK WORD,2,04/26/2011 14:08,6.78,13098,United Kingdom
579774,22178,VICTORIAN GLASS HANGING T-LIGHT,1,11/24/2011 09:08,1.39,12804,United Kingdom
582972,22197,SMALL POPCORN HOLDER,4,09/02/2011 16:38,0.81,14405,Spain
565926,84406B,CREAM CUPID HEARTS COAT HANGER,4,04/11/2011 18:09,2.84,12742,United Kingdom
579402,21754,HOME BUILDING BLOCK WORD,3,10/19/2011 19:53,6.36,12583,United Kingdom
542165,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,04/12/2011 14:15,4.21,13005,United Kingdom
560193,22138,BAKING SET 9 PIECE RETROSPOT,5,01/26/2011 12:01,5.5,15037,Ireland
560625,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,05/28/2011 14:38,4.16,13397,United Kingdom
577535,71053,WHITE METAL LANTERN,8,11/13/2011 10:19,3.71,12556,United Kingdom
545082,21754,HOME BUILDING BLOCK WORD,7,02/16/2011 17:53,5.79,12393,France
560631,22383,LUNCH BAG SUKI DESIGN,6,01/03/2011 13:01,1.65,13397,United Kingdom
556077,22197,SMALL POPCORN HOLDER,13,04/19/2011 10:26,0.84,,United Kingdom
582009,22632,HAND WARMER RED POLKA DOT,5,05/20/2011 15:41,1.69,13072,France
554986,22423,REGENCY CAKESTAND 3 TIER,1,01/06/2011 07:49,12.87,13745,United Kingdom
566646,21754,HOME BUILDING BLOCK WORD,9,03/24/2011 09:24,6.46,13671,United Kingdom
585947,22178,VICTORIAN GLASS HANGING T-LIGHT,12,10/11/2011 11:37,1.3,12457,Ireland
548624,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,06/06/2011 19:12,2.78,12486,United Kingdom
563603,71053,WHITE METAL LANTERN,8,10/19/2011 19:09,3.58,12744,United Kingdom
582309,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,03/30/2011 09:30,4.56,13080,United Kingdom
547657,84406B,CREAM CUPID HEARTS COAT HANGER,2,04/29/2011 09:11,2.91,14573,France
549487,22197,SMALL POPCORN HOLDER,16,07/04/2011 11:47,0.96,13386,United Kingdom
579427,23084,RABBIT NIGHT LIGHT,11,06/17/2011 07:27,2.25,12583,United Kingdom
575668,20727,LUNCH BAG BLACK SKULL.,5,02/10/2011 10:18,1.5,14353,Ireland
564707,71053,WHITE METAL LANTERN,13,03/31/2011 13:41,3.4,13631,United Kingdom
578461,22632,HAND WARMER RED POLKA DOT,2,05/02/2011 09:23,1.77,,United Kingdom
570915,71053,WHITE METAL LANTERN,7,12/23/2010 17:16,3.27,13679,United Kingdom
558361,84029E,RED WOOLLY HOTTIE WHITE HEART,18,05/05/2011 19:18,3.43,12386,United Kingdom
561664,71053,WHITE METAL LANTERN,12,07/16/2011 10:10,3.64,12477,France
537340,84029E,RED WOOLLY HOTTIE WHITE HEART,9,01/13/2011 13:02,3.73,13478,United Kingdom
586371,23298,SPOTTY BUNTING,14,09/24/2011 15:42,5.07,12812,France
543761,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,03/22/2011 08:28,4.17,13611,United Kingdom
540342,21754,HOME BUILDING BLOCK WORD,1,05/02/2011 19:29,5.36,13902,United Kingdom
538346,21754,HOME BUILDING BLOCK WORD,10,01/10/2011 08:38,5.97,13860,France
571657,22138,BAKING SET 9 PIECE RETROSPOT,9,02/14/2011 14:11,4.74,13610,United Kingdom
561690,22960,JAM MAKING SET WITH JARS,4,12/15/2010 18:30,4.19,13456,United Kingdom
558663,21071,VINTAGE BILLBOARD DRINK ME MUG,5,05/26/2011 10:55,1.04,13442,United Kingdom
542972,22632,HAND WARMER RED POLKA DOT,4,07/14/2011 09:15,1.8,12380,United Kingdom
580915,22632,HAND WARMER RED POLKA DOT,10,03/09/2011 07:09,2.02,13749,United Kingdom
574826,21071,VINTAGE BILLBOARD DRINK ME MUG,5,03/24/2011 12:44,1.17,12659,United Kingdom
539363,23084,RABBIT NIGHT LIGHT,6,07/10/2011 07:42,1.93,15383,United Kingdom
537126,20727,LUNCH BAG BLACK SKULL.,3,06/30/2011 17:14,1.86,14396,United Kingdom
553232,71053,WHITE METAL LANTERN,7,07/30/2011 09:51,3.78,13087,United Kingdom
553351,22961,JAM MAKING SET PRINTED,13,06/11/2011 08:48,1.64,12369,United Kingdom
553305,21755,LOVE BUILDING BLOCK WORD,2,04/15/2011 16:33,5.48,16096,United Kingdom
548398,21754,HOME BUILDING BLOCK WORD,5,07/24/2011 07:06,6.54,14152,United Kingdom
573017,21754,HOME BUILDING BLOCK WORD,12,04/12/2011 19:15,6.0,12620,Portugal
C550156,20727,LUNCH BAG BLACK SKULL.,-11,08/11/2011 18:34,1.89,12397,Ireland
562423,84879,ASSORTED COLOUR BIRD ORNAMENT,4,07/17/2011 19:07,1.73,12837,United Kingdom
583939,84879,ASSORTED COLOUR BIRD ORNAMENT,19,03/01/2011 16:48,1.68,12472,France
582593,21755,LOVE BUILDING BLOCK WORD,1,04/27/2011 12:38,6.44,12776,Portugal
542675,20727,LUNCH BAG BLACK SKULL.,5,06/13/2011 15:49,1.74,14715,Belgium
565280,22178,VICTORIAN GLASS HANGING T-LIGHT,1,04/16/2011 15:04,1.14,13133,United Kingdom
569052,23203,JUMBO BAG DOILEY PATTERNS,14,05/10/2011 11:32,2.0,13524,United Kingdom
581210,22197,SMALL POPCORN HOLDER,10,04/14/2011 07:56,0.93,12822,Netherlands
574586,22197,SMALL POPCORN HOLDER,13,08/21/2011 19:55,0.86,12732,United Kingdom
561918,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,03/04/2011 08:11,2.82,13023,United Kingdom
570907,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,10/20/2011 07:00,3.47,14323,United Kingdom
548196,22178,VICTORIAN GLASS HANGING T-LIGHT,2,11/02/2011 11:11,1.23,12573,United Kingdom
550229,22632,HAND WARMER RED POLKA DOT,1,12/02/2010 10:39,1.76,13761,France
552279,21754,HOME BUILDING BLOCK WORD,1,06/11/2011 12:00,6.81,12967,Germany
549118,22632,HAND WARMER RED POLKA DOT,1,02/08/2011 16:13,1.68,12495,United Kingdom
580401,21754,HOME BUILDING BLOCK WORD,14,09/07/2011 17:11,6.46,13039,United Kingdom
550629,20725,LUNCH BAG RED RETROSPOT,5,05/02/2011 14:54,1.5,12537,Germany
542294,85099B,JUMBO BAG RED RETROSPOT,1,12/31/2010 14:10,2.38,14082,Spain
561700,84029E,RED WOOLLY HOTTIE WHITE HEART,5,03/23/2011 11:38,4.14,13456,United Kingdom
544299,84029E,RED WOOLLY HOTTIE WHITE HEART,5,01/07/2011 09:40,3.54,15084,United Kingdom
538535,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,01/15/2011 07:40,2.95,,United Kingdom
544066,22197,SMALL POPCORN HOLDER,8,02/18/2011 19:01,0.8,13334,Belgium
562468,20727,LUNCH BAG BLACK SKULL.,2,05/17/2011 15:56,1.72,13496,United Kingdom
C564460,21931,JUMBO STORAGE BAG SUKI,-7,04/01/2011 11:43,1.98,13028,United Kingdom
572235,22197,SMALL POPCORN HOLDER,9,02/27/2011 13:12,0.8,12413,Portugal
549144,21071,VINTAGE BILLBOARD DRINK ME MUG,8,01/07/2011 07:54,1.14,13513,United Kingdom
566460,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,08/20/2011 17:59,3.96,12864,United Kingdom
551002,22633,HAND WARMER UNION JACK,9,03/17/2011 12:33,1.71,12911,United Kingdom
586073,22960,JAM MAKING SET WITH JARS,9,11/16/2011 16:19,4.23,12408,United Kingdom
556472,21071,VINTAGE BILLBOARD DRINK ME MUG,3,05/12/2011 14:09,1.0,13139,Germany
584290,21754,HOME BUILDING BLOCK WORD,4,06/07/2011 11:46,6.56,13220,Netherlands
540945,20725,LUNCH BAG RED RETROSPOT,18,11/13/2011 07:21,1.81,12750,Ireland
555076,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,03/07/2011 18:05,3.22,13882,United Kingdom
579271,21755,LOVE BUILDING BLOCK WORD,6,02/26/2011 07:04,6.8,13394,United Kingdom
551426,20727,LUNCH BAG BLACK SKULL.,4,02/24/2011 11:40,1.89,13517,United Kingdom
539558,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,02/09/2011 15:02,3.47,13221,United Kingdom
570071,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,01/08/2011 16:08,2.83,13489,United Kingdom
571299,23298,SPOTTY BUNTING,7,11/14/2011 08:05,5.65,12657,United Kingdom
587272,84029E,RED WOOLLY HOTTIE WHITE HEART,22,02/13/2011 10:22,4.0,12718,United Kingdom
558780,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,02/23/2011 11:11,3.86,13578,United Kingdom
541734,84406B,CREAM CUPID HEARTS COAT HANGER,1,07/24/2011 15:14,3.03,12982,France
545722,22961,JAM MAKING SET PRINTED,3,07/29/2011 17:56,1.66,12855,United Kingdom
552150,22086,PAPER CHAIN KIT 50'S CHRISTMAS,11,01/23/2011 17:28,2.81,12521,Ireland
583940,71053,WHITE METAL LANTERN,7,07/17/2011 11:20,3.12,12472,France
543793,22961,JAM MAKING SET PRINTED,6,01/22/2011 09:58,1.54,13507,United Kingdom
573212,23203,JUMBO BAG DOILEY PATTERNS,3,07/20/2011 07:03,1.91,14034,Germany
554428,23203,JUMBO BAG DOILEY PATTERNS,1,11/17/2011 08:34,2.04,14681,United Kingdom
572366,20725,LUNCH BAG RED RETROSPOT,9,08/08/2011 11:55,1.86,13282,Spain
557828,84029E,RED WOOLLY HOTTIE WHITE HEART,12,07/17/2011 19:30,4.06,13815,United Kingdom
538264,22961,JAM MAKING SET PRINTED,17,08/30/2011 08:02,1.41,13510,Spain
555401,23203,JUMBO BAG DOILEY PATTERNS,1,08/21/2011 16:47,2.24,13138,United Kingdom
564999,84879,ASSORTED COLOUR BIRD ORNAMENT,5,04/01/2011 15:24,1.64,13381,Belgium
567522,21754,HOME BUILDING BLOCK WORD,5,11/07/2011 19:06,5.76,13017,United Kingdom
554179,84406B,CREAM CUPID HEARTS COAT HANGER,6,10/22/2011 18:23,3.04,13310,United Kingdom
548623,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,06/29/2011 09:34,3.13,12486,United Kingdom
547960,22632,HAND WARMER RED POLKA DOT,12,03/05/2011 13:29,1.82,12584,United Kingdom
561214,21931,JUMBO STORAGE BAG SUKI,4,01/24/2011 19:00,2.1,13546,United Kingdom
559670,22961,JAM MAKING SET PRINTED,19,11/24/2011 18:23,1.4,12787,United Kingdom
C566868,84406B,CREAM CUPID HEARTS COAT HANGER,-7,09/13/2011 18:36,2.95,12913,United Kingdom
577320,22178,VICTORIAN GLASS HANGING T-LIGHT,2,10/15/2011 14:34,1.24,14545,France
545341,23084,RABBIT NIGHT LIGHT,11,01/12/2011 08:30,2.14,13572,Germany
553170,21071,VINTAGE BILLBOARD DRINK ME MUG,3,04/03/2011 18:36,1.08,12394,United Kingdom
587304,20725,LUNCH BAG RED RETROSPOT,2,04/04/2011 09:09,1.7,12515,United Kingdom
553701,84029E,RED WOOLLY HOTTIE WHITE HEART,6,02/09/2011 16:33,3.8,13947,United Kingdom
586310,22960,JAM MAKING SET WITH JARS,1,07/02/2011 15:11,3.86,12745,United Kingdom
580699,23298,SPOTTY BUNTING,1,09/08/2011 19:21,4.57,14571,United Kingdom
584178,22423,REGENCY CAKESTAND 3 TIER,1,08/13/2011 09:37,12.54,12788,Ireland
567671,21212,PACK OF 72 RETROSPOT CAKE CASES,12,01/31/2011 19:40,0.43,13796,United Kingdom
573362,22633,HAND WARMER UNION JACK,1,08/23/2011 15:54,2.0,13062,United Kingdom
538481,22752,SET 7 BABUSHKA NESTING BOXES,3,05/06/2011 12:16,8.66,12883,United Kingdom
559469,23298,SPOTTY BUNTING,5,11/24/2011 15:23,5.02,14531,Germany
540682,22633,HAND WARMER UNION JACK,1,09/27/2011 14:38,2.07,14168,Spain
557423,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10,10/15/2011 19:36,3.19,13214,United Kingdom
543587,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,02/06/2011 15:00,3.08,12995,United Kingdom
575033,23084,RABBIT NIGHT LIGHT,3,11/24/2011 16:47,2.06,12809,United Kingdom
575092,21755,LOVE BUILDING BLOCK WORD,1,12/18/2010 14:19,5.36,15311,United Kingdom
549391,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,11/18/2011 10:31,2.66,,Germany
557715,21071,VINTAGE BILLBOARD DRINK ME MUG,4,07/15/2011 13:07,1.01,14322,Portugal
586051,22138,BAKING SET 9 PIECE RETROSPOT,12,07/13/2011 08:01,5.34,13669,United Kingdom
581172,22633,HAND WARMER UNION JACK,8,10/08/2011 18:07,2.02,,France
549787,22138,BAKING SET 9 PIECE RETROSPOT,4,11/23/2011 08:13,5.14,13088,Germany
563164,22960,JAM MAKING SET WITH JARS,7,01/15/2011 13:23,4.21,13843,United Kingdom
566872,23298,SPOTTY BUNTING,8,02/15/2011 09:45,4.57,12913,United Kingdom
558171,71053,WHITE METAL LANTERN,1,09/30/2011 18:13,3.79,13029,United Kingdom
581597,22197,SMALL POPCORN HOLDER,5,06/21/2011 18:33,0.84,15399,Ireland
577897,22961,JAM MAKING SET PRINTED,12,08/03/2011 07:49,1.5,12552,United Kingdom
561191,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,10/01/2011 17:05,3.05,14415,Spain
579421,71053,WHITE METAL LANTERN,13,07/08/2011 13:29,3.84,12583,United Kingdom
572138,71053,WHITE METAL LANTERN,8,02/22/2011 08:57,3.42,13720,United Kingdom
564148,22633,HAND WARMER UNION JACK,5,07/23/2011 09:08,2.0,12652,United Kingdom
566480,22633,HAND WARMER UNION JACK,1,03/08/2011 18:41,1.87,15394,United Kingdom
572438,84879,ASSORTED COLOUR BIRD ORNAMENT,12,02/06/2011 15:00,1.59,13750,United Kingdom
586742,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,10/28/2011 15:57,3.87,14412,United Kingdom
584194,22178,VICTORIAN GLASS HANGING T-LIGHT,12,07/16/2011 09:45,1.21,12455,Ireland
570880,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10,06/04/2011 19:50,2.99,12375,Ireland
583941,22138,BAKING SET 9 PIECE RETROSPOT,5,10/31/2011 08:04,5.64,12472,France
549975,20727,LUNCH BAG BLACK SKULL.,10,08/05/2011 13:00,1.64,13271,United Kingdom
559108,23084,RABBIT NIGHT LIGHT,10,04/01/2011 19:08,1.96,13153,United Kingdom
570071,22086,PAPER CHAIN KIT 50'S CHRISTMAS,13,01/08/2011 16:08,2.97,13489,United Kingdom
539257,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,06/08/2011 14:00,2.31,12733,Spain
548260,22423,REGENCY CAKESTAND 3 TIER,1,08/31/2011 07:30,12.54,13346,United Kingdom
554532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,07/14/2011 18:50,2.37,12698,United Kingdom
572251,85099B,JUMBO BAG RED RETROSPOT,2,12/06/2010 08:26,2.15,14820,United Kingdom
539175,23203,JUMBO BAG DOILEY PATTERNS,1,08/03/2011 08:03,2.05,12351,United Kingdom
562333,84406B,CREAM CUPID HEARTS COAT HANGER,10,09/20/2011 07:51,3.04,12917,United Kingdom
C547477,21929,JUMBO BAG PINK VINTAGE PAISLEY,-16,12/19/2010 13:04,2.28,13707,United Kingdom
566303,22632,HAND WARMER RED POLKA DOT,7,03/17/2011 08:34,2.0,12927,United Kingdom
562364,20725,LUNCH BAG RED RETROSPOT,1,03/19/2011 19:12,1.86,14455,Netherlands
547070,21929,JUMBO BAG PINK VINTAGE PAISLEY,12,02/26/2011 09:45,1.89,12597,United Kingdom
554884,21754,HOME BUILDING BLOCK WORD,6,04/03/2011 14:32,6.6,12427,United Kingdom
540851,22383,LUNCH BAG SUKI DESIGN,1,09/27/2011 08:49,1.58,12930,United Kingdom
582946,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,02/21/2011 13:04,3.15,13787,United Kingdom
539043,22752,SET 7 BABUSHKA NESTING BOXES,10,01/30/2011 15:05,7.83,,Germany
562247,22383,LUNCH BAG SUKI DESIGN,6,10/21/2011 09:06,1.68,12941,United Kingdom
578355,84406B,CREAM CUPID HEARTS COAT HANGER,13,08/02/2011 19:30,2.71,12513,United Kingdom
584243,21071,VINTAGE BILLBOARD DRINK ME MUG,3,12/04/2010 11:20,1.08,13673,United Kingdom
539855,22633,HAND WARMER UNION JACK,5,05/13/2011 11:18,2.01,12416,Ireland
580668,22383,LUNCH BAG SUKI DESIGN,8,12/08/2010 19:46,1.83,15482,United Kingdom
559147,85099B,JUMBO BAG RED RETROSPOT,4,02/24/2011 17:08,2.29,12676,United Kingdom
571034,21931,JUMBO STORAGE BAG SUKI,5,10/18/2011 15:09,2.13,12834,United Kingdom
558551,84029E,RED WOOLLY HOTTIE WHITE HEART,6,11/01/2011 15:22,3.85,12522,United Kingdom
537126,22961,JAM MAKING SET PRINTED,3,06/30/2011 17:14,1.41,14396,United Kingdom
561598,23298,SPOTTY BUNTING,3,07/20/2011 16:36,4.83,12441,United Kingdom
547034,22961,JAM MAKING SET PRINTED,1,11/04/2011 08:06,1.46,13198,United Kingdom
583113,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,07/16/2011 10:21,4.13,12969,United Kingdom
580435,84406B,CREAM CUPID HEARTS COAT HANGER,6,06/17/2011 13:07,2.79,14507,United Kingdom
586796,22138,BAKING SET 9 PIECE RETROSPOT,7,12/16/2010 11:26,4.89,13730,Ireland
551092,20725,LUNCH BAG RED RETROSPOT,2,08/16/2011 16:07,1.57,13105,Spain
538349,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,12/22/2010 12:17,4.11,15294,United Kingdom
556293,84406B,CREAM CUPID HEARTS COAT HANGER,4,08/10/2011 09:01,2.88,13262,Spain
576286,22752,SET 7 BABUSHKA NESTING BOXES,15,07/04/2011 18:18,7.25,12579,United Kingdom
566580,21754,HOME BUILDING BLOCK WORD,5,06/20/2011 15:47,6.58,12377,Ireland
539215,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,09/15/2011 07:38,2.64,12558,United Kingdom
576407,84406B,CREAM CUPID HEARTS COAT HANGER,7,12/29/2010 09:33,2.58,15559,Ireland
550069,21931,JUMBO STORAGE BAG SUKI,4,06/30/2011 12:04,1.78,13619,United Kingdom
549099,22961,JAM MAKING SET PRINTED,12,07/14/2011 19:42,1.39,12495,United Kingdom
558002,84406B,CREAM CUPID HEARTS COAT HANGER,1,06/25/2011 10:33,2.77,13020,Portugal
539682,23203,JUMBO BAG DOILEY PATTERNS,4,02/21/2011 13:45,2.08,14173,Ireland
574457,84406B,CREAM CUPID HEARTS COAT HANGER,2,09/13/2011 11:55,3.14,14563,United Kingdom
559094,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,09/19/2011 16:45,2.08,13104,Spain
561994,22178,VICTORIAN GLASS HANGING T-LIGHT,9,06/08/2011 18:15,1.13,12618,United Kingdom
561213,21212,PACK OF 72 RETROSPOT CAKE CASES,1,12/02/2010 13:11,0.39,13546,United Kingdom
578499,22752,SET 7 BABUSHKA NESTING BOXES,6,03/20/2011 19:57,7.95,12613,United Kingdom
542327,22178,VICTORIAN GLASS HANGING T-LIGHT,8,11/17/2011 07:12,1.24,12424,United Kingdom
569030,21754,HOME BUILDING BLOCK WORD,13,11/11/2011 09:02,6.63,12884,Ireland
543579,22383,LUNCH BAG SUKI DESIGN,11,04/23/2011 13:28,1.51,12995,United Kingdom
586274,21212,PACK OF 72 RETROSPOT CAKE CASES,1,06/01/2011 19:36,0.44,12948,United Kingdom
555946,20727,LUNCH BAG BLACK SKULL.,1,09/13/2011 13:55,1.53,,United Kingdom
563425,22960,JAM MAKING SET WITH JARS,8,03/13/2011 18:08,3.88,13446,United Kingdom
541127,22383,LUNCH BAG SUKI DESIGN,4,06/03/2011 08:19,1.52,12353,United Kingdom
582038,21931,JUMBO STORAGE BAG SUKI,8,12/09/2010 18:34,2.03,13465,United Kingdom
561382,22961,JAM MAKING SET PRINTED,1,01/20/2011 12:07,1.61,14611,United Kingdom
542153,21071,VINTAGE BILLBOARD DRINK ME MUG,8,10/10/2011 16:37,1.11,13005,United Kingdom
580036,84406B,CREAM CUPID HEARTS COAT HANGER,19,02/09/2011 19:09,3.16,13883,United Kingdom
555945,23084,RABBIT NIGHT LIGHT,3,02/26/2011 18:22,2.34,14718,United Kingdom
571540,21755,LOVE BUILDING BLOCK WORD,15,10/23/2011 18:26,6.12,13065,United Kingdom
547687,84029E,RED WOOLLY HOTTIE WHITE HEART,1,10/16/2011 11:16,3.76,14134,United Kingdom
547487,21754,HOME BUILDING BLOCK WORD,2,08/22/2011 08:41,6.17,12950,United Kingdom
543009,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,11/21/2011 12:56,2.0,12696,United Kingdom
538748,22197,SMALL POPCORN HOLDER,5,05/19/2011 13:44,0.82,12488,Portugal
552853,22960,JAM MAKING SET WITH JARS,1,05/26/2011 16:37,4.33,13449,France
564596,21212,PACK OF 72 RETROSPOT CAKE CASES,2,11/02/2011 12:58,0.43,14223,United Kingdom
561172,21212,PACK OF 72 RETROSPOT CAKE CASES,5,03/24/2011 11:18,0.38,14600,Germany
569667,71053,WHITE METAL LANTERN,5,04/30/2011 11:39,3.77,13026,United Kingdom
585237,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,06/13/2011 10:46,4.13,14702,Germany
556049,20727,LUNCH BAG BLACK SKULL.,1,06/05/2011 15:52,1.64,,United Kingdom
545009,22197,SMALL POPCORN HOLDER,1,11/16/2011 11:18,0.78,12507,United Kingdom
585089,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,05/14/2011 15:56,4.25,,United Kingdom
583252,22383,LUNCH BAG SUKI DESIGN,4,10/18/2011 08:06,1.6,14145,United Kingdom
539740,21071,VINTAGE BILLBOARD DRINK ME MUG,15,01/14/2011 17:19,1.05,13879,France
555237,22423,REGENCY CAKESTAND 3 TIER,4,02/14/2011 07:45,14.46,13352,United Kingdom
561278,21754,HOME BUILDING BLOCK WORD,3,09/28/2011 15:01,6.2,14162,United Kingdom
569356,21931,JUMBO STORAGE BAG SUKI,11,12/18/2010 17:23,2.19,13734,United Kingdom
545157,23084,RABBIT NIGHT LIGHT,7,08/11/2011 07:47,2.2,12422,France
584660,71053,WHITE METAL LANTERN,7,11/04/2011 10:27,3.25,12593,Spain
562439,84406B,CREAM CUPID HEARTS COAT HANGER,11,05/03/2011 12:32,2.5,12837,United Kingdom
