InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,LineTotal
571818,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-09-13 16:46:00,3.48,13943,Germany,10.44
583131,21755,LOVE BUILDING BLOCK WORD,4,2011-02-12 17:31:00,6.53,12803,United Kingdom,26.12
579036,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,2011-04-08 12:55:00,2.05,12526,United Kingdom,10.25
536899,22632,HAND WARMER RED POLKA DOT,13,2011-02-05 07:48:00,1.92,13110,United Kingdom,24.96
551087,20725,LUNCH BAG RED RETROSPOT,5,2011-09-17 11:28:00,1.68,13105,Spain,8.4
585112,71053,WHITE METAL LANTERN,1,2011-11-08 09:32:00,3.4,14597,United Kingdom,3.4
565809,20727,LUNCH BAG BLACK SKULL.,14,2011-04-16 11:17:00,1.52,12356,Ireland,21.28
573422,20725,LUNCH BAG RED RETROSPOT,7,2011-04-15 07:15:00,1.69,13728,United Kingdom,11.83
536705,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,2011-02-26 12:40:00,2.66,12888,United Kingdom,53.2
542456,22961,JAM MAKING SET PRINTED,12,2011-02-13 15:38:00,1.67,12818,United Kingdom,20.04
559125,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-09-13 08:38:00,2.91,13153,United Kingdom,14.55
560583,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-09-12 14:22:00,2.96,12585,United Kingdom,2.96
554704,71053,WHITE METAL LANTERN,1,2011-05-13 12:02:00,3.29,13121,United Kingdom,3.29
558227,20725,LUNCH BAG RED RETROSPOT,5,2011-04-16 19:32:00,1.78,14138,United Kingdom,8.9
584806,20727,LUNCH BAG BLACK SKULL.,1,2011-02-05 10:59:00,1.75,13281,Spain,1.75
539201,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-05 19:15:00,7.92,12351,United Kingdom,31.68
546898,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-09-12 13:01:00,3.92,12866,United Kingdom,7.84
577196,22138,BAKING SET 9 PIECE RETROSPOT,10,2011-01-07 14:20:00,4.97,13634,Germany,49.7
565435,22086,PAPER CHAIN KIT 50'S CHRISTMAS,17,2011-11-27 18:22:00,2.96,12700,Ireland,50.32
576316,22383,LUNCH BAG SUKI DESIGN,5,2011-03-28 17:20:00,1.52,12981,United Kingdom,7.6
548273,21071,VINTAGE BILLBOARD DRINK ME MUG,8,2011-09-13 13:14:00,1.09,16081,United Kingdom,8.72
542917,23298,SPOTTY BUNTING,12,2011-11-12 16:20:00,4.6,12954,France,55.2
577625,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2010-12-02 09:46:00,0.43,15066,Ireland,1.72
584552,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-04-25 10:37:00,3.43,13844,Ireland,3.43
571638,85099B,JUMBO BAG RED RETROSPOT,16,2011-01-05 17:34:00,2.28,13610,United Kingdom,36.48
560390,22961,JAM MAKING SET PRINTED,8,2011-05-24 15:39:00,1.59,13490,Ireland,12.72
576801,21929,JUMBO BAG PINK VINTAGE PAISLEY,4,2011-10-27 14:51:00,1.95,12856,Netherlands,7.8
579949,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-03-09 15:26:00,3.56,15636,United Kingdom,3.56
581188,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-05-22 17:09:00,2.69,12702,France,16.14
545512,22197,SMALL POPCORN HOLDER,17,2010-12-27 10:50:00,0.91,13867,United Kingdom,15.47
570471,85099B,JUMBO BAG RED RETROSPOT,8,2010-12-03 19:32:00,2.02,13624,United Kingdom,16.16
583789,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-05-13 12:26:00,7.55,13798,United Kingdom,30.2
553670,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-05-22 14:15:00,3.85,13557,United Kingdom,46.2
554307,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2011-04-26 14:24:00,0.96,13054,United Kingdom,5.76
554230,20725,LUNCH BAG RED RETROSPOT,10,2010-12-18 14:00:00,1.85,13683,United Kingdom,18.5
583283,21755,LOVE BUILDING BLOCK WORD,7,2011-02-09 18:53:00,6.71,13823,United Kingdom,46.97
585751,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-17 07:34:00,2.84,13399,Germany,8.52
571054,21929,JUMBO BAG PINK VINTAGE PAISLEY,23,2011-04-17 17:53:00,1.93,12580,Ireland,44.39
558326,84406B,CREAM CUPID HEARTS COAT HANGER,22,2011-07-29 17:11:00,2.72,13309,Ireland,59.84
550650,22960,JAM MAKING SET WITH JARS,1,2011-05-16 12:00:00,4.85,14309,United Kingdom,4.85
557305,21755,LOVE BUILDING BLOCK WORD,7,2011-04-02 14:35:00,6.48,13762,United Kingdom,45.36
586414,22383,LUNCH BAG SUKI DESIGN,5,2011-07-07 12:11:00,1.55,13162,Ireland,7.75
582077,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-09-19 11:36:00,3.94,13228,United Kingdom,23.64
584780,22632,HAND WARMER RED POLKA DOT,5,2011-02-15 12:59:00,1.97,16451,Germany,9.85
576777,22383,LUNCH BAG SUKI DESIGN,7,2011-07-24 17:45:00,1.63,12547,United Kingdom,11.41
552848,22960,JAM MAKING SET WITH JARS,20,2011-04-24 17:23:00,3.99,13449,France,79.8
574241,23203,JUMBO BAG DOILEY PATTERNS,12,2011-04-25 08:18:00,1.96,13329,United Kingdom,23.52
547792,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2011-07-29 19:13:00,1.06,13047,United Kingdom,6.36
555512,22633,HAND WARMER UNION JACK,7,2010-12-03 09:14:00,1.85,13477,Germany,12.95
585971,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-18 18:10:00,2.11,13685,United Kingdom,21.1
556506,21929,JUMBO BAG PINK VINTAGE PAISLEY,11,2011-08-29 07:53:00,1.89,12564,United Kingdom,20.79
558102,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-06-28 16:08:00,4.75,12454,United Kingdom,57.0
555145,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2011-02-16 14:58:00,1.8,12403,Netherlands,16.2
568830,22197,SMALL POPCORN HOLDER,3,2011-11-07 07:24:00,0.85,14465,United Kingdom,2.55
544117,84029E,RED WOOLLY HOTTIE WHITE HEART,7,2011-04-12 17:17:00,3.88,13875,Ireland,27.16
557119,22752,SET 7 BABUSHKA NESTING BOXES,11,2011-07-09 09:43:00,7.83,12810,United Kingdom,86.13
567719,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-03-30 11:40:00,2.62,12440,Belgium,23.58
538264,22960,JAM MAKING SET WITH JARS,9,2011-08-30 08:02:00,4.27,13510,Spain,38.43
583869,21071,VINTAGE BILLBOARD DRINK ME MUG,15,2010-12-01 08:57:00,1.04,13421,Germany,15.6
538753,21755,LOVE BUILDING BLOCK WORD,16,2011-05-18 12:13:00,6.49,12488,Portugal,103.84
570484,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2010-12-31 11:36:00,4.22,13624,United Kingdom,16.88
569226,22961,JAM MAKING SET PRINTED,4,2011-02-12 13:48:00,1.36,14118,United Kingdom,5.44
581670,22178,VICTORIAN GLASS HANGING T-LIGHT,1,2011-10-22 11:21:00,1.33,14575,United Kingdom,1.33
581911,23298,SPOTTY BUNTING,2,2011-05-13 15:29:00,5.32,12629,Germany,10.64
